ds,y
2025-01-01,137
2025-02-01,116
2025-03-01,156
2025-04-01,129
2025-05-01,156
2025-06-01,138
2025-07-01,140
2025-08-01,141
2025-09-01,121
2025-10-01,131
2025-11-01,136
2025-12-01,165
